"","Metagenomic Diversity index","lon","lat","sample_name","Nation","Bioproject","Depth","min_len","avg_len","max_len","subtype","raster_value","value"
"299",0.955298940747991,-123.63,39.74,"SRR7042346","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.955298940747991
"300",0.960425245888568,-123.63,39.74,"SRR7042350","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.960425245888568
"301",0.951845010539056,-123.63,39.74,"SRR7042353","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.951845010539056
"302",0.944857239064202,-123.63,39.74,"SRR7042359","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.944857239064202
"303",0.956684861840844,-123.63,39.74,"SRR7042360","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.956684861840844
"304",0.950362778063826,-123.63,39.74,"SRR7042362","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.950362778063826
"305",0.952913668606811,-123.63,39.74,"SRR7042364","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.952913668606811
"306",0.951703036861839,-123.63,39.74,"SRR7042367","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.951703036861839
"307",0.960702510318901,-123.63,39.74,"SRR7042372","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.960702510318901
"308",0.94471868101163,-123.63,39.74,"SRR7042376","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.94471868101163
"309",0.955757785877856,-123.63,39.74,"SRR7042377","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.955757785877856
"310",0.957031648746794,-123.63,39.74,"SRR7042382","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.957031648746794
"311",0.957595719147336,-123.63,39.74,"SRR7042387","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.957595719147336
"312",0.946517943344906,-123.63,39.74,"SRR7042390","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.946517943344906
"313",0.95587138259313,-123.63,39.74,"SRR7042393","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.95587138259313
"314",0.611477963384878,119.8167,34.2487,"SRR7448200","China: Jiaozhou","PRJNA477767","5-10 cm",NA,NA,NA,"agricultural land",28328,0.611477963384878
"315",0.703481105341456,119.8167,34.2487,"SRR7448260","China: Jiaozhou","PRJNA477767","5-10 cm",NA,NA,NA,"agricultural land",28328,0.703481105341456
"316",0.707177611830382,119.8167,34.2487,"SRR7448267","China: Jiaozhou","PRJNA477767","5-10 cm",NA,NA,NA,"agricultural land",28328,0.707177611830382
"317",0.849991838332377,119.8167,34.2487,"SRR7448268","China: Jiaozhou","PRJNA477767","5-10 cm",NA,NA,NA,"agricultural land",28328,0.849991838332377
"318",0.656208026760806,119.8167,34.2487,"SRR7448274","China: Jiaozhou","PRJNA477767","5-10 cm",NA,NA,NA,"agricultural land",28328,0.656208026760806
"319",0.82861186466461,119.8167,34.2487,"SRR7448275","China: Jiaozhou","PRJNA477767","5-10 cm",NA,NA,NA,"agricultural land",28328,0.82861186466461
"320",0.750869932798882,119.8167,34.2487,"SRR7448276","China: Jiaozhou","PRJNA477767","5-10 cm",NA,NA,NA,"agricultural land",28328,0.750869932798882
"321",0.7522575704875,119.8167,34.2487,"SRR7448277","China: Jiaozhou","PRJNA477767","5-10 cm",NA,NA,NA,"agricultural land",28328,0.7522575704875
