"","plot","latitude","longitude","area","subsamples","area_m2","Last_fire_y_ago","collection_date","biome","nativeness","warning","delta15N","N_conc_g_kg","P_conc_mg_kg","abund","richness","mold_Eurotiales_Abundance","mold_Mortierellales_Abundance","mold_Mucorales_Abundance","mold_Trichoderma_Abundance","mold_Umbelopsidales_Abundance","lat","lon","sample_name","study_id","raster_value","adiv_richness_new","adiv_chao1_new","adiv_shannon_new","subtype","value"
"2081","S944",-18.17,-63.52,"Bolivia:La Angostura",40,"2500","100","2018-12-02","forest: tropical broadleaf forest biome","","","4.322627435","4.316765159","20.86560392",4684,762,3.437233134,0.149444919,0.042698548,0.021349274,0,-18.17,-63.52,"S944","S",29405,367,656.5,4.27012239798044,"broadleaf",4.27012239798044
"2082","S945",51.15,83.02,"Russia:Altai:Mt. Mayak",40,"2500","100","2018-07-18","forest: subpolar coniferous forest biome","","","unknown","unknown","41.03509944",5081,907,25.40838418,2.735681952,2.401102145,0.177130486,2.184609329,51.15,83.02,"S945","S",28350,486,763.723809523809,5.10507789885315,"coniferous",5.10507789885315
"2083","S946",51.11,83.01,"Russia:Altai:Malyi Tigirek",40,"2500","100","2018-07-19","forest: subpolar coniferous forest biome","","","3.749186547","3.274778108","50.34871099",3864,447,0.207039337,7.427536232,0.051759834,0.362318841,0.439958592,51.11,83.01,"S946","S",28696,289,432.181818181818,4.14091044863206,"coniferous",4.14091044863206
"2084","S947",51.12,83.04,"Russia:Altai:Malyi Tigirek",40,"2500","100","2018-07-20","forest: subpolar coniferous forest biome","","molds_above_5SD_median","3.704381123","4.874322266","44.61444733",6767,809,66.10019211,1.182207773,0,0.088665583,0.029555194,51.12,83.04,"S947","S",29839,333,577.897058823529,3.23256622170444,"coniferous",3.23256622170444
"2085","S948",51.05,82.97,"Russia:Altai:Mt. Mayak",40,"2500","100","2018-07-21","grassland: montane grassland biome","","molds_above_5SD_median","1.674517679","3.185682194","17.31817399",4012,361,0.523429711,44.81555334,0.498504487,4.012961117,1.146560319,51.05,82.97,"S948","S",29902,234,331,3.78491159333734,"grassland",3.78491159333734
"2086","S949",51.04,82.97,"Russia:Altai:Mt. Mayak",40,"2500","100","2018-07-22","forest: subpolar coniferous forest biome","","","2.074653482","8.647772025","33.3898022",7693,1043,4.497595216,1.312881841,0.675939165,1.22189003,11.56895879,51.04,82.97,"S949","S",29407,450,757.317073170732,5.09291517396946,"coniferous",5.09291517396946
"2087","S952",49.75,14.8,"Czech Republic:Jemništ?",40,"2500","100","2017-08-31","forest: temperate broadleaf forest biome","","","-1.955462549","4.056275711","unknown",6976,1329,0.788417431,6.981077982,0.157683486,3.010321101,1.61983945,49.75,14.8,"S952","S",29364,672,1112.71532846715,5.83466749012987,"broadleaf",5.83466749012987
"2088","S953",49.67,14.58,"Czech Republic:Vrchotovy Janovice",40,"2500","100","2017-08-31","forest: temperate broadleaf forest biome","","","1.226214669","2.960438331","unknown",5471,1381,0.767684153,9.267044416,1.060135259,1.64503747,0.511789435,49.67,14.58,"S953","S",28065,640,1229.28571428571,5.53420854590173,"broadleaf",5.53420854590173
"2089","S954",49.7,14.6,"Czech Republic:Vrchotovy Janovice",40,"2500","100","2017-08-31","forest: temperate broadleaf forest biome","","","1.148559889","4.449344027","unknown",8175,1136,2.862385321,3.363914373,0.366972477,1.076452599,3.535168196,49.7,14.6,"S954","S",28524,459,812.087912087912,4.79787707603523,"broadleaf",4.79787707603523
"2090","S955",50.21,14.44,"Czech Republic:Panenské B?ežany",40,"2500","100","2017-09-06","forest: temperate broadleaf forest biome","","","0.977537039","3.14959751","unknown",4959,987,8.832425892,4.295220811,0.44363783,1.794716677,1.492236338,50.21,14.44,"S955","S",27703,494,832.315217391304,5.17407493345951,"broadleaf",5.17407493345951
"2091","S956",50.22,14.44,"Czech Republic:Panenské B?ežany",40,"2500","100","2017-09-06","forest: temperate broadleaf forest biome","","","0.890900759","6.994857131","unknown",7547,1568,0.450510136,4.028090632,0.278256261,6.307141911,1.590035776,50.22,14.44,"S956","S",27931,632,1145.80769230769,5.54610861233561,"broadleaf",5.54610861233561
"2092","S957",50.19,14.53,"Czech Republic:M?šice",40,"2500","100","2017-09-06","forest: temperate broadleaf forest biome","","","0.400531179","4.286024077","unknown",3638,970,4.535459043,5.250137438,0.797141286,0.549752611,0.302363936,50.19,14.53,"S957","S",28465,607,896.496240601504,5.76224845832879,"broadleaf",5.76224845832879
"2093","S958",50.2,14.53,"Czech Republic:M?šice",40,"2500","100","2017-09-06","forest: temperate broadleaf forest biome","","","1.440403155","4.529733384","unknown",10679,1097,14.11180822,3.258732091,1.788556981,2.406592378,1.900927053,50.2,14.53,"S958","S",28899,474,777.258064516129,5.12870757027064,"broadleaf",5.12870757027064
